               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.060364,            0.028759,            0.015985,             0.14548,              0.7037,             0.48533,             0.50949,              0.1895,            0.051979,            0.023193,            0.015774,             0.13722,            0.002329,            0.002329,            0.002329
                  89,            0.060252,            0.029495,            0.014941,             0.14439,             0.62204,             0.46869,             0.50745,             0.24196,            0.050367,            0.023266,            0.014777,             0.13703,           0.0022809,           0.0022809,           0.0022809
                  90,            0.059738,            0.028834,            0.015117,             0.14385,             0.77671,             0.41725,             0.49391,             0.19041,            0.050894,            0.023504,            0.013945,             0.13641,           0.0022365,           0.0022365,           0.0022365
                  91,            0.059823,            0.029623,            0.015141,             0.14436,             0.72645,              0.4759,             0.53495,             0.21718,            0.051957,            0.023292,            0.014686,              0.1363,           0.0021958,           0.0021958,           0.0021958
                  92,            0.060181,            0.029726,            0.015115,             0.14379,               0.743,             0.46678,             0.53467,              0.2674,            0.049767,            0.023527,            0.015339,             0.13491,           0.0021588,           0.0021588,           0.0021588
                  93,            0.060054,            0.028933,              0.0154,             0.14337,             0.72769,             0.51269,             0.57631,             0.25147,            0.050231,            0.023243,            0.014896,             0.13402,           0.0021257,           0.0021257,           0.0021257
                  94,            0.059442,            0.029624,            0.015013,              0.1432,             0.81689,              0.4737,             0.56752,             0.24908,            0.050612,            0.023367,            0.015195,             0.13408,           0.0020963,           0.0020963,           0.0020963
                  95,            0.058048,            0.027731,            0.015237,             0.14175,             0.63334,             0.52026,             0.55051,             0.26295,            0.049861,            0.023267,            0.014424,             0.13416,           0.0020709,           0.0020709,           0.0020709
                  96,            0.059711,            0.029994,            0.016148,             0.14223,               0.833,             0.47272,             0.57833,             0.25211,             0.04941,            0.023338,            0.015018,              0.1325,           0.0020492,           0.0020492,           0.0020492
                  97,            0.060417,            0.029379,             0.01512,             0.14118,             0.61328,             0.48564,             0.48289,             0.19217,            0.053186,            0.023699,            0.015375,             0.13289,           0.0020315,           0.0020315,           0.0020315
                  98,            0.059437,            0.027999,             0.01525,             0.14132,             0.64952,             0.51749,             0.54243,             0.26536,            0.050181,            0.023637,            0.015268,             0.13181,           0.0020178,           0.0020178,           0.0020178
                  99,            0.060373,            0.029431,            0.015888,             0.14206,             0.73755,             0.50077,             0.57153,             0.24934,            0.049479,            0.023811,            0.014892,             0.13219,           0.0020079,           0.0020079,           0.0020079
